9,'Puppet Walk / System','Mampi Swift','Ganja Records','RPG003','Mampi Swift','Puppet Walk','11A',173
84,'Puppet Walk / System','Mampi Swift','Ganja Records','RPG003','Mampi Swift','System','8B',175
13,'Valley Of The Shadows [31 Seconds] / Truly 1','Origin Unknown','Ram Records','RAMM16R','Origin Unknown','Valley Of The Shadows [31 Seconds]','11B',170
82,'Valley Of The Shadows [31 Seconds] / Truly 1','Origin Unknown','Ram Records','RAMM16R','Origin Unknown','Truly 1','8A',174
21,'Another Planet / Voyager','Pendulum','Breakbeat Kaos','BBK003','Pendulum','Another Planet','1B',173
71,'Another Planet / Voyager','Pendulum','Breakbeat Kaos','BBK003','Pendulum','Voyager','8A',173
4,'Ram Raiders Vol.4','Ram Recordings Present','Ram Records','RAMM48','Origin Unknown','Grudge Match','10A',175
17,'Ram Raiders Vol.4','Ram Recordings Present','Ram Records','RAMM48','Shimon & Sparunk','Bass Fanatic','12B',176
25,'Ram Raiders Vol.4','Ram Recordings Present','Ram Records','RAMM48','Moving Fusion & Andy C','Think Crazy','2A',175
79,'Ram Raiders Vol.4','Ram Recordings Present','Ram Records','RAMM48','Ram Trilogy','Beastman [Ed Rush & Optical RMX]','8A',174
93,'Fear Grips [Original] / [Opius RMX]','Rareform & Resin / Opius','New Vision Recordings','NV0501','Opius','[Opius RMX]',,0
109,'Fear Grips [Original] / [Opius RMX]','Rareform & Resin / Opius','New Vision Recordings','NV0501','Rareform & Resin','Fear Grips [Original]',' ',0
90,'Anthem / Everybody','Sam Snee','Bingo Recordings','BINGO074','Sam Snee','Everybody',,0
106,'Anthem / Everybody','Sam Snee','Bingo Recordings','BINGO074','Sam Snee','Anthem',' ',0
43,'Airplane / Flamenco','Sub Focus','Ram Records','RAMM60','Sub Focus','Airplane','6A',174
44,'Airplane / Flamenco','Sub Focus','Ram Records','RAMM60','Sub Focus','Flamenco','6A',174
29,'Could This Be Real [Drum & Bass RMX] / Triple X','Sub Focus','Ram Records','RAMM82','Sub Focus','Could This Be Real [Drum & Bass RMX]','3A',174
83,'Could This Be Real [Drum & Bass RMX] / Triple X','Sub Focus','Ram Records','RAMM82','Sub Focus','Triple X','8B',174
14,'Down The Drain / Hot Line','Sub Focus','Frequency Recordings','FQY009','Sub Focus','Hot Line','12A',174
75,'Down The Drain / Hot Line','Sub Focus','Frequency Recordings','FQY009','Sub Focus','Down The Drain','8A',174
64,'Special Place / Druggy','Sub Focus','Ram Records','RAMM63','Sub Focus','Druggy','7B',174
65,'Special Place / Druggy','Sub Focus','Ram Records','RAMM63','Sub Focus','Special Place','7B',174
27,'Timewarp / Join The Dots','Sub Focus','Ram Records','RAMM71','Sub Focus','Join The Dots','2A',174
85,'Timewarp / Join The Dots','Sub Focus','Ram Records','RAMM71','Sub Focus','Timewarp','8B',174
31,'Soldiers VIP / Pressure Drop [Kryptic Minds RMX]','Technical Itch Feat.MC Jakes','Penetration Records','TIP012','Technical Itch Feat.MC Jakes','Pressure Drop [Kryptic Minds RMX]','3A',174
80,'Soldiers VIP / Pressure Drop [Kryptic Minds RMX]','Technical Itch Feat.MC Jakes','Penetration Records','TIP012','Technical Itch Feat.MC Jakes','Soldiers VIP','8A',172
15,'Take Me To The Hospital [Sub Focus RMX] / [Rusko RMX]','The Prodigy','Take Me To The Hospital','HOSPT05','The Prodigy','[Rusko RMX]','12A',140
68,'Take Me To The Hospital [Sub Focus RMX] / [Rusko RMX]','The Prodigy','Take Me To The Hospital','HOSPT05','The Prodigy','Take Me To The Hospital [Sub Focus RMX]','7B',174
20,'Voodoo People [Pendulum RMX] / Smack My Bitch Up [Sub Focus RMX]','The Prodigy','Xl Recordings','XLT219DJ1','The Prodigy','Voodoo People [Pendulum RMX]','1A',174
32,'Voodoo People [Pendulum RMX] / Smack My Bitch Up [Sub Focus RMX]','The Prodigy','Xl Recordings','XLT219DJ1','The Prodigy','Smack My Bitch Up [Sub Focus RMX]','3A',174
91,'Bustin Loose / Elementary','Total Science','Timeless Recordings','TYME014','Total Science','Elementary',,0
107,'Bustin Loose / Elementary','Total Science','Timeless Recordings','TYME014','Total Science','Bustin Loose',' ',0
45,'Bandwagon Blues / Heavy Metal','Twisted Individual','Grid Recordings','GRIDRP002','Twisted Individual','Heavy Metal','6A',175
58,'Bandwagon Blues / Heavy Metal','Twisted Individual','Grid Recordings','GRIDRP002','Twisted Individual','Bandwagon Blues','7A',116
30,'Rusty Sheriffs Badge / Gimp Mask','Twisted Individual','Grid Recordings','GRIDRP001','Twisted Individual','Gimp Mask','3A',175
41,'Rusty Sheriffs Badge / Gimp Mask','Twisted Individual','Grid Recordings','GRIDRP001','Twisted Individual','Rusty Sheriffs Badge','5B',175
5,'The F Word / Wales','Twisted Individual','Grid Recordings','GRIDRP003','Twisted Individual','The F Word','10A',172
81,'The F Word / Wales','Twisted Individual','Grid Recordings','GRIDRP003','Twisted Individual','Wales','8A',173
111,'Grow Your Wings CD [Disc 1 Unmixed / Disc 2 Mixed By Original Sin]','Original Sin','Playaz','PLAYAZ008CD','Original Sin','D For Danger',' ',0
